,tsne_feature_1,tsne_feature_2,labels
422,-5.948807,90.04152,0
423,-73.12144,5.754358,0
424,-46.615868,23.168798,0
425,-9.910469,-51.79469,0
426,96.68658,-1.8932371,0
427,32.826946,32.440704,0
428,31.656122,28.636984,0
429,-12.35855,73.95496,0
430,43.18726,-82.82129,0
431,-22.477806,-64.59326,0
432,50.582687,-46.58302,0
433,6.6096725,-2.014542,0
434,-14.32828,50.64606,0
435,-49.18157,13.328707,0
436,-54.91079,-20.64951,0
437,23.74801,86.53248,0
438,-36.86949,-68.92058,0
439,67.702866,8.727898,0
440,-16.452633,-27.872332,0
441,-22.096016,-27.737833,0
442,-63.352505,-65.8547,0
443,-29.665192,41.688725,0
444,106.041756,-0.38533387,0
445,-37.19693,71.3551,0
446,-42.875896,45.474228,0
447,32.032894,12.570221,0
448,-11.968755,89.193375,0
449,-15.098001,50.053547,0
450,49.74213,-67.44307,0
451,-61.430473,51.077446,0
452,-47.0928,52.30363,0
453,1.9802276,89.796974,0
454,19.48044,13.784884,0
455,-52.39985,54.34338,0
456,57.42687,-69.688896,0
457,73.81961,21.16595,0
458,7.6125307,-57.63352,0
459,29.404036,82.68537,0
460,25.438854,88.75798,0
461,25.059824,83.55941,0
462,42.519688,62.7912,0
463,36.49963,13.99514,0
464,-8.671922,-85.56464,0
465,0.022138318,-80.246155,0
466,82.10294,19.355703,0
467,89.93321,8.450075,0
468,68.04362,20.495602,0
469,-0.07756105,95.226944,0
470,-8.481044,-85.295815,0
471,25.91627,63.700974,0
472,31.151823,33.815685,0
473,47.17348,-45.270084,0
474,-22.968237,-34.25866,0
475,60.212536,42.22034,0
476,-22.994545,40.233032,0
477,-20.441946,59.590626,0
478,-90.22046,-23.685745,0
479,82.74493,-10.160743,0
480,-64.26942,43.42906,0
481,12.293889,-51.622837,0
482,42.778843,-80.304665,0
483,-38.28675,74.84527,0
484,35.464485,26.467749,0
485,-42.727596,9.077349,0
486,-15.0718,32.234943,0
487,-63.35809,-64.924484,0
488,49.05187,0.57182175,0
489,-4.098273,87.23543,0
490,-31.855436,31.034458,0
491,-37.444355,-71.436295,0
492,-8.075342,72.772514,0
493,37.926735,54.695465,0
494,43.9846,-13.229664,0
495,-52.58538,13.466719,0
496,-33.339733,71.83734,0
497,25.131903,65.94592,0
498,30.110888,80.96755,0
499,-22.654295,-11.606449,0
500,-72.70318,5.0785494,0
501,-70.92252,4.179306,0
502,-43.18973,15.847097,0
503,-1.8466485,85.73476,0
504,-80.26708,-27.62425,0
505,74.45684,-2.1286898,0
506,-73.09408,5.5705113,0
507,9.934737,-70.62051,0
508,-58.32121,-65.16449,0
509,20.161142,16.047194,0
510,44.36374,-12.10469,0
511,33.64261,31.10457,0
512,2.2519345,51.99914,0
513,-50.468845,56.72905,0
514,-34.384274,40.696262,0
515,-53.569122,-8.768131,0
516,-60.80987,22.70169,0
517,44.46043,9.514725,0
518,-0.9089009,89.22677,0
519,-36.86516,74.98074,0
520,-54.95866,4.104552,0
521,7.411843,66.81708,0
522,-3.043442,-80.16226,0
523,5.401313,62.492577,0
524,-84.00359,-19.950298,0
525,25.50009,86.33163,0
526,-45.683193,7.5750914,0
527,-84.108795,-22.485252,0
528,43.55297,-11.058614,0
529,8.953032,-53.88777,0
530,67.775116,10.350375,0
531,-19.025856,30.320284,0
532,5.9391193,-56.969196,0
533,1.274639,63.35185,0
534,-7.8406568,-32.15165,0
535,-5.486047,-45.460564,0
536,3.4846034,61.147953,0
537,2.1513047,90.10645,0
538,26.246672,55.241783,0
539,23.138779,7.725659,0
540,-37.939606,11.950199,0
541,-17.837162,53.222286,0
542,-70.363396,21.006752,0
543,-79.26841,2.318168,0
544,18.365095,0.6333024,0
545,-23.804525,39.963707,0
546,-67.99077,49.227787,0
547,29.72725,33.564804,0
548,-21.064135,28.42549,0
549,-17.150146,69.04794,0
550,-6.4386806,-42.155228,0
551,-61.92759,-16.699001,0
552,-11.196034,74.26337,0
553,33.560196,18.418598,0
554,-40.418304,72.521034,0
555,30.53269,53.394043,0
556,-50.489307,53.18213,0
557,-5.896951,73.620476,0
558,-40.9824,77.14533,0
559,4.963185,-17.225468,0
560,-75.33088,46.31351,0
561,42.346527,-65.23411,0
562,-11.675307,-49.670086,0
563,-53.049934,-17.655998,0
564,24.677088,89.69656,0
565,97.22338,25.30487,0
566,-49.06699,46.688656,0
567,-22.848171,34.850807,0
568,-17.841589,5.280546,0
569,-25.464754,-24.488262,0
570,-15.58587,67.82335,0
571,71.5225,26.038773,0
572,1.473501,78.47725,0
573,-48.99298,-0.056130752,0
574,-49.36074,46.61114,0
575,-12.217911,-81.1342,0
576,-48.897274,57.832497,0
577,75.153244,24.061035,0
578,-10.8921,-30.378342,0
579,20.274414,12.951493,0
580,-70.33678,20.61626,0
581,-36.028385,80.13661,0
582,5.7734356,-57.358982,0
583,-42.76218,-50.314808,0
584,-36.851078,79.82906,0
585,29.062706,-84.261604,0
586,38.13063,69.14663,0
587,-61.309505,22.815035,0
588,-71.45354,12.498315,0
589,6.9878373,51.487293,0
590,-5.271218,73.47317,0
591,3.7024686,52.8439,0
592,-42.92976,15.947518,0
593,-38.862892,11.041571,0
594,75.12691,24.687002,0
595,15.791966,1.7112637,0
596,-70.47876,19.664862,0
597,26.406872,89.72659,0
598,-34.538624,65.42531,0
599,67.39348,20.422817,0
600,25.942635,63.757603,0
601,-12.979213,-84.34473,0
602,46.078213,-45.11308,0
603,-53.407665,55.497936,0
604,-3.655972,-80.76261,0
605,-72.136734,48.13577,0
606,-0.9233298,61.39949,0
607,-6.736266,-49.50319,0
608,-3.1404643,-77.94118,0
609,-39.097015,74.46702,0
610,9.491194,-34.44322,0
611,-14.945709,50.706055,0
612,-63.134846,-63.617813,0
613,-24.759384,25.889692,0
614,37.7976,57.269924,0
615,-81.54307,-1.105858,0
616,-68.93267,-22.936361,0
617,50.789448,-46.480076,0
