,tsne_feature_1,tsne_feature_2,labels
300,-19.311974,6.9585238,0
301,-1.0714649,45.96002,0
302,29.682268,-8.129874,0
303,42.376263,-1.3261727,0
304,29.84631,1.7329376,0
305,66.9354,30.466263,0
306,-22.413584,67.27209,0
307,32.10662,20.998318,0
308,3.730616,13.634997,0
309,29.963808,-18.787395,0
310,-12.236279,-77.12816,0
311,-19.878904,10.112101,0
312,-13.597467,-74.82991,0
313,28.355427,-59.962067,0
314,-66.86408,3.1588817,0
315,-37.520428,-58.233532,0
316,50.478905,39.418697,0
317,-56.061024,-0.6011724,0
318,8.786885,-35.767662,0
319,-7.262622,55.33496,0
320,81.51752,-8.361463,0
321,60.378212,-44.304512,0
322,-21.660837,49.36437,0
323,39.81305,-21.904724,0
324,23.956614,42.27505,0
325,45.161156,-3.7866628,0
326,-64.192024,-3.6592705,0
327,62.221664,-37.19353,0
328,-42.400017,-21.513716,0
329,-29.118273,-23.643072,0
330,-1.157361,26.414877,0
331,-67.503876,4.760378,0
332,41.687622,16.859417,0
333,-7.459885,12.68515,0
334,-3.25702,-74.15034,0
335,59.164413,-42.146935,0
336,-23.129557,12.748303,0
337,-56.761497,-56.46715,0
338,-7.1410365,-28.075527,0
339,20.175976,-54.38605,0
340,5.9713874,-2.288712,0
341,-0.31236675,-55.320843,0
342,-43.82824,-51.13302,0
343,31.311323,21.053257,0
344,-11.570805,-5.5458674,0
345,-4.567479,55.39607,0
346,26.559069,-12.318565,0
347,-31.084772,29.297966,0
348,-35.835777,-21.455006,0
349,-11.273279,41.713608,0
